Emotion,Text
Thankful,Just a few of the amazing volunteers that I have the honor of serving with each week on Fridays…
Frustrated,This changes all my college plans idk if I want to accept this offer or stay with my plan ugh
Happy,Happy birthday foo
Fear,Day 3 of #scifoo and its my turn to speak so i'm masking my abject fear with a colourful dress and a smile!
Sarcastic,Day 3 of #scifoo and its my turn to speak so i'm masking my abject fear with a colourful dress and a smile!
Frustrated,@Outback I have a issue I want to take up with you guys
None,@Saito_section_9 @ValLisitsa @NOckelmann @bfinci @TamrikoT @JackMarsman @arktinentuuli @Russ_Warrior @9562Debbie…
Happy,Over Jersey got my baby shower gift part of my gf bridal shower gift &amp;&amp;' my pot I wanted forever ☺️🙌🏾
Sadness,Way less support from my peers in recent years as I get established.
Frustrated,Way less support from my peers in recent years as I get established.
lol,and then i have 2 passions/hobbies that don't make $ at all. and that's probably why it's fun lol
Frustrated,and then i have 2 passions/hobbies that don't make $ at all. and that's probably why it's fun lol
Frustrated,i hate spending money but i'm always shopping 😭
Hopeful,i hope he's waiting for me
Excitement,Can't Wait For SHARKNADO 5 TONIGHT SUPPER EXCITED
lol,I'm slept on lol
Happy,Fuck a Monday I love my Sunday's
Happy,Happy Birthday to my sister Guadalupe River Pimpin' ya heard. #kt3rdcoast #tgif #friday…
Thankful,"@cannabisonfire5 Thanks For Supporting
#CannabisFamilies 💚 
#Pot4Parents 🌲 
#CannaVsPharm 💯
#WomenOfCannabis"
Love,HAPPY 21ST BIRTHDAY TO MY BFF AND LOVER FOR LIFE I AM SO GRATEFUL THAT YOU'RE MINE❤️🥂
Happy,HAPPY 21ST BIRTHDAY TO MY BFF AND LOVER FOR LIFE I AM SO GRATEFUL THAT YOU'RE MINE❤️🥂
Anger/Upset,Why do boys only swipe up about your appearance through snapchat? I'd rather get a compliment on insta instead you hoe
Frustrated,Why do boys only swipe up about your appearance through snapchat? I'd rather get a compliment on insta instead you hoe
Sadness,friends can break your heart too
Frustrated,"I understand now why people hate their 20's 

When you have money there's no love.... but when you have love there's no money. 💸❤️"
Thankful,🙏🏻Grateful to be a part of the 5 Star ⭐️ Nutrition Fort Meade family. Rock bottom prices and…
Frustrated,Sis @socialenemy_ is tired of you neglecting his birthday annually.
None,We're #hiring! Read about our latest #job opening here: Restaurant Manager -  #Restaurant #Tulare CA
Happy,One of my favorite things while travelling is getting to visit worship with and learn from…
Sadness,My sister is getting on a plane to Italy and I'm not getting on with her this time. My heart hurts. Accepting hugs all day 😭😢
None,"#get Ready 
#ArtistsWritersGame
#pregame #Party 
Fri Aug 18 
#Easthampton 
#easthamptonvillage… "
None,Can you recommend anyone for this #job? Cook -  #SONIC #Hospitality #Pace FL #Hiring #CareerArc
None,Ready or not here they come!!! Meet these brand new PiYo LIVE Instructors who are ready to share…
Anger/Upset,🗣#LockHerUp! @JeffFlake 🙋proudly🗣shout it out👉NoBody Is Above the Law She is a proven corrupt lying criminal who de…
None,Just posted a video @ North Collinwood Cleveland
None,@kabelo_matekane @_segat please listen to this
Hopeful,God's gift is to everyone who accepts it. Even you .@georgesoros
None,Join the CVS Health team! See our latest #job opening here:  #AnnArbor MI #Hiring
None,How can anyone take the Pearl of Great Price seriously after reading the gospel topic essay about it? #OpenMicSunday #TwitterStake
None,If you're looking for work in #Roseville CA check out this #job:  #CustomerService #Veterans #Hiring
None,If you're looking for work in #Mansfield TX check out this #job:  #WebDesign #Hiring #CareerArc
None,Want to work in #Chicago IL? View our latest opening:  #BusinessMgmt #Job #Jobs #Hiring
None,Join the SONIC Drive-In team! See our latest #job opening here:  #SONIC #Hospitality #Baker LA #Hiring #CareerArc
None,weeks** 😴😴
Anger/Upset,Ex Marxist professor  - their strategy is to use White guilt to destroy you.  They lie about your history. They do not care about truth.
None,Just posted a photo @ Ugly's
lol,I told my dad to roll tht shit up he said he only got Reggie ..I didn't even text back lmao
None,Interested in a #job in #Aurora CO? This could be a great fit:  #Banking #Hiring #CareerArc
None,Want to work at Charter Schools USA? We're #hiring in #PortStLucie FL! Click for details:  #Education #Job #Jobs
None,Jim Harbaugh invited Charles Woodson to serve as honorary captain for the Ohio State game in November.
None,City
Excitement,Oh my 😻🤤
None,Cleared: Construction on #I495 EB from Exit 32 - Little Neck Parkway to Exit 33 - Lakeville Road
Love,I might take a breather but I won't ever leave you
Sadness,I might take a breather but I won't ever leave you
None,Cleared: Construction on #I495 EB from Exit 32 - Little Neck Parkway to Exit 33 - Lakeville Road
None,If you're looking for work in #Stamford CT check out this #job:  #Spectrum #IT #Hiring #CareerArc
None,Updated: Construction on #I87NYSThruway NB from Before Exit 7 (I-87) - Ardsley (Rte 9A) to After Exit 7 (I-87) -...
None,If you're looking for work in #Escondido CA check out this #job:  #saleslife #sales #Hiring
None,Want to work in #OakBrook IL? View our latest opening:  #CustomerService #Veterans #Job #Jobs #Hiring
None,Join the Ulta Beauty team! See our latest #job opening here:  #Cosmetology #StaffordTownship NJ #Hiring #CareerArc
None,We're #hiring! Read about our latest #job opening here: shift supervisor - Store# 07576 MELVILLE -  #Melville NY
None,If you're looking for work in #Temple TX check out this #job:  #CustomerService #Veterans #Hiring
None,Can you recommend anyone for this #job? Product Engineer - Microelectronics Manufacturing -  #NettempsJobs #Hiring
None,Updated: Construction on #I495 EB from Exit 32 - Little Neck Parkway to Exit 33 - Lakeville Road
Sadness,I need a change of life seriously. Time to move to another state and start fresh with new surroundings and new people 🙅🏻👋🏼
Thoughtful,I need a change of life seriously. Time to move to another state and start fresh with new surroundings and new people 🙅🏻👋🏼
Frustrated,I need a change of life seriously. Time to move to another state and start fresh with new surroundings and new people 🙅🏻👋🏼
None,Updated: Incident on #I95N NB at Exit 54 (CEDAR ST)
None,Can you recommend anyone for this #job? Scanning Technician - John Carter Brown Library -  #Education #Hiring
None,Join the Advance Auto Parts team! See our latest #job opening here:  #Automotive #Cheraw SC #Hiring #CareerArc
Frustrated,@AmazonHelp Yes they cancelled it because it was listed at an incorrect price. How is this my fault? I've spent 100…
Thankful,thank you mason!! :-)
None,See our latest #Strongsville OH #job and click to apply: shift supervisor - Store# 13960... -  #CustomerService
None,Updated: Construction on #I495 EB from Exit 32 - Little Neck Parkway to Exit 33 - Lakeville Road
None,Want to work in #Hilliard OH? View our latest opening:  #Clerical #Job #Jobs #Hiring #CareerArc
lol,"Literally NONE of my jeans fit me anymore. ""Sweatpants are all that fit me right now"" 😅"
None,Working 2-7. (at @GameStop in Dulles VA)
Frustrated,Singles ward testimony meeting update: skinny white rich wife of the bishop begins her testimony with a loud ALOHAAA. 😒 #getoutahere
Dissapointed,Singles ward testimony meeting update: skinny white rich wife of the bishop begins her testimony with a loud ALOHAAA. 😒 #getoutahere
Excitement,WHAT THIS IS THE BEST INVENTION EVER
Anger/Upset,#PowerStarz Tariq is on my last nerves! He doing the most puttin hands on your sista tho! 😲😯😠
Anger/Upset,@SeaWorld Aquatica is poorly run with useless staff and the prices doesn't reflect the service you pay for.
Thoughtful,@soraeln @peplamb It drives home the idea that religion is created by people to fit their views rather than the other way around.
Love,"MARSHA ON THE MOVE...

POWERFUL INSPIRING PROGRAM - LOVE LOVE LOVE....HUGS!!!

VAN JONES… "
Excitement,"MARSHA ON THE MOVE...

POWERFUL INSPIRING PROGRAM - LOVE LOVE LOVE....HUGS!!!

VAN JONES… "
Excitement,guys tomorrow is @machewblackwood birthday get pumped
Excitement,I'M PUMPED AND READY TO GOOOOOOOOO
Excitement,Doing something different for my hair 😻😌
Happy,@zohie_damgaard Happy Birthday Zohie hope it's amazing! ☺️🎉
None,🏄 @ US Open of Surfing
Suprise,Whaaaaattttt ???? FUCK IT UP
Love,justin ❤️
lol,I HATE being skinny😂
Frustrated,I HATE being skinny😂
None,Beating traffic and parking problems by watching @usopenofsurf @VANS_66 #vansusopen live #webcast
Happy,@tavaresparker1 @HousewivesPolls @Kandi @ShannonBeador @TinsleyMortimer Such a SWEETHEART!! Happy Morning Tavares!…
Sadness,Missing my brother a lot today &amp; wishing he was here to celebrate this new chapter of my life. Please come back home. 😭💔
Confusion,How am I sick rn
Frustrated,How am I sick rn
Amusment/Interest?,Some cool backstage pictures from @deansherwood 😎📸 @ Tabernacle Atlanta
Anger/Upset,First game was in the Superdome was a rigged mess in favor of the Saints. Blocked punt at the start? Come on.
lol,Lol why is my 4 yr old brother eating his corn before his pizza.... I didn't know kids liked corn more. 😂???
Confusion,Lol why is my 4 yr old brother eating his corn before his pizza.... I didn't know kids liked corn more. 😂???
None,@TonyStowell3 @iTunes @robbiewilliams @MrPeteHammond @RadioPromotion @itsEdwardOZ @ARTEMISALULO @ActualRadioUK…
Confusion,Does streaming actually make time pass quick? O.o it didnt feel like 43 mins o.o
None,Construction work in #Schertz on I-35 NB after Weiderstein Rd stop and go traffic back to Lp 1604 delay of 13 mins #traffic
Happy,My wife had this awesome coconut curry. So tasty! With @covingte and…
Anger/Upset,@FoxNews  @rupertmurdoch  @seanhannity  IF you do not bring @ericbolling  back &amp; you believe a proven LIAR con artist Hannity is only show
None,♫Ball and Chain (Honky Tonk) by Mike Ness from #SoundHound with LiveLyrics®
Happy,This is how the #coldbrew pours at collagecoffee ... 😋 #thehfm #wehavecoffee #hollywood…
Love,I'm convinced that true love is sitting in your new living room on a Sunday with your bae while eating leftover Olive Garden for breakfast
Happy,Happy Birthday @AmandaLynneVox
None,Just posted a photo @ Silver Lake Los Angeles
Amusment/Interest?,This is a very cool picture. #Titanic
lol,I looked through all 56 pictures of my friends that we took yesterday and there's 3 that we actually looked at the camera 😂
Thankful,Working in hospitality I never thought I'd see a real weekend. I am fortunate enough to be…
Love,@jacob_glasscock Haha thanks bro I'll be back on the 11th we will get wild then! Love you man.
Thankful,@jacob_glasscock Haha thanks bro I'll be back on the 11th we will get wild then! Love you man.
Frustrated,Pedro should have been subbed long before to bring on fresh legs he was running all game
Excitement,Now on my way home!
Thoughtful,FOOD FOR THOUGHT
None,"#USGS332846094370400 - Rain Gage at DeKalb TX 
Heavy Rain (1.04 in/hr) over the last 15 minutes 
"
None,16:50 WB0USI (Rick) on W6/NS-163 (Webber Peak 2467m 8pt) 14.0635 cw: CQ now [WB0USI]
Thankful,i'm so grateful for all the friends i've made through twitter. thank you all for always being there for me :-)
Anger/Upset,@newtgingrich Obstruction of justice occurred in DC.  Thus its jurisdiction.  Not much in the brains department I see Newt.
Love,@lydiacastle88 omg i hate u but ily 💘✨💕
lol,@lydiacastle88 omg i hate u but ily 💘✨💕
None,"Free
#GpsTracking
#GPS #Tracking
#TrackingDevice
#Locator #CarTracker
#FleetTracking #Car
#Truck… "
Fear,Catching up on the news… praying this morning for Tulsa and its meteorologists. @jamesaydelott
Hopeful,Catching up on the news… praying this morning for Tulsa and its meteorologists. @jamesaydelott
Happy,New obsession: Almond/Coconut milk mixture unsweetened ❤️
Sadness,I don't want to leaveeeee😭
Happy,Woke up this morning to see a 4-1 Arsenal win what a great start to the day
Excitement,The anticipation of seeing the house is literally killing me 😬😬😬
None,Want to work in #Parker CO? View our latest opening:  #Nursing #Job #Jobs #Hiring #CareerArc
None,Riverbank living sculpture #LittleRiver #instagramtennessee @ Great Smoky Mountains National Park
Happy,OMG~YAAAASSSSS!!! 🙌🏾🙌🏾🙌🏾 LOVE-LOVE-LOVE me some #Zumba WOOO!! Enjoy!! #ShakeIt 💪🏽🎶💃🏻🎶💪🏽
Excitement,OMG~YAAAASSSSS!!! 🙌🏾🙌🏾🙌🏾 LOVE-LOVE-LOVE me some #Zumba WOOO!! Enjoy!! #ShakeIt 💪🏽🎶💃🏻🎶💪🏽
None,We're #hiring! Click to apply: Direct Support Professional -  #Hillsborough NJ #Job #Jobs #CareerArc
None,Can you recommend anyone for this #job? CDL-A Owner Operator Drop and Hook Lease Purchase -  #Transportation
None,Join the HCSG team! See our latest #job opening here:  #HCSG #Hoist #Crane #Hiring #Construction #Charlotte NC
Happy,Nothing like a good mirror selfie + warm lights to start your week off. Especially in your dad's…
None,If you're looking for work in #SpanishFort AL check out this #job:  #parttime #Restaurant #Manager #Veterans
None,Can you recommend anyone for this #job? barista - Store# 47904 TINYTOWN &amp; TRENTON - CLARKSVIL -  #CustomerService
None,Just posted a photo @ Del Prado Apartments
None,"Free
#GpsTracking
#GPS #Tracking
#TrackingDevice
#Locator #CarTracker
#FleetTracking #Car
#Truck… "
None,We're #hiring! Click to apply: Restaurant Hourly Team Member -  #Restaurant #Wilmington NC #Job #Jobs
None,Want to work in #Draper Utah? View our latest opening:  #DellJobs #BusinessMgmt #Job #Jobs #Hiring #CareerArc
None,This #job might be a great fit for you: Delivery Driver -  #Transportation #Essex VT #Hiring #CareerArc
Excitement,Also I have been vegan for 6 days!
None,R1 is growing and we're hiring a Patient Registration... in #Sapulpa OK! Apply today. #job #hiring #career
Excitement,I'm so excited to be taking philosophy this semester!
Anger/Upset,"The Left RELIES HEAVILY on ""newspeak"" misusing words flipping meanings to gain support for control. "
None,This #job might be a great fit for you: Pediatric Dental Assistant -  #Dental #Assistant #Clinton UT #Hiring
None,#Graceland #ElvisPresley #TCB @ Elvis Presley's Graceland
Happy,Chillin in New York City!
Happy,love my #SundayFunday #alexpals #summer #vintagestyle
Happy,Happy National Root Beer Float Day!;)
Happy,@MMKpublicity happy birthday 💅🏾💞
Happy,Stayed up all  night getting food ready   BBQ most of the day  feeling tried. Seeing my wife happy PRICELESS!!!😎😎
Happy,"Out reshooting a couple shots for tomorrow's ""how to vlog in public"" video. 😄❤️ I love what I do!"
Thankful,Thank you everyone for the unconditional support! It honestly means so much to me! I'll always be here 💜
Suprise,Whoaaaa. That's not funny.
None,We're #hiring! Click to apply: Assistant Restaurant Manager -  #Hospitality #Chicago IL #Job #Jobs #CareerArc
Frustrated,"I DONT GUVE A FUCK ABOUT BAKING OR COOKING SHOWS

BUT ITS BECAUSE
I LIVE WITH AN EATING DISORDER"
Sadness,I look like I'm finna get disrespected today at work 😕
Frustrated,I look like I'm finna get disrespected today at work 😕
Excitement,Dyleebug says Go Reds! @ Great American Ball Park
Hopeful,"Grace teaches us to live godly. Embrace present. Anticipate future=hope. 
#TheUnfinishedChurch #SermonSeries @dasiegrist @LBCSacredGround"
None,Join the UTI team! See our latest #job opening here:  #Education #Scottsdale AZ #Hiring #CareerArc
Happy,Looks like a lazy day watching the #Cubs today. #DayWellSpent
lol,@SNoland10 No height at all
Happy,A little Sunday Funday with Miss Gabriella 😊😎 #minime #niece…
Anger/Upset,im Angry
Sadness,ITS MY DAY OFF and they took inside out off of Netflix?????????????????
Confusion,ITS MY DAY OFF and they took inside out off of Netflix?????????????????
Frustrated,ITS MY DAY OFF and they took inside out off of Netflix?????????????????
Anger/Upset,@newtgingrich Idiot! Grand juries aren't political. You are the epitome of fake news!
Frustrated,@newtgingrich Idiot! Grand juries aren't political. You are the epitome of fake news!
Happy,I love this. I do it like once a month.
None,"Sunday Special

Medium 2 Top Pizza
6 Wings
Garlic Knots or Chsy Brd
2L Pepsi
FREE DELIVERY
17.99

SHOW ME THE PIZZA… "
Love,You know it's true beauty when her smile is her best curve.
Love,I love you but come for me one more time
None,Want to work in #FortWorth TX? View our latest opening:  #Reliant #Job #Jobs #Hiring
None,We're #hiring! Click to apply: Insurance Agent -  #insurance #Sales #Waukesha WI #Job #Jobs
Happy,Hands-down the BEST breakfast I've ever eaten. #pineapplepancakes #orangecounty #sundayfunday @…
None,"Swimwear with leahelliot 📸@rayakey 
#akeyphoto #photography #portraitphotographers #photo… "
None,#Arizona #wives upskirt #companions #femdom squirting #incall #cam wife #kiksex #r
None,Can you recommend anyone for this #job in #BrokenBow OK?  #SONIC #Hospitality #Hiring #CareerArc
None,Want to work in #Loxley AL? View our latest opening:  #Automotive #Job #Jobs #Hiring #CareerArc
None,This #job might be a great fit for you: Physician Assistant -  #ortho #Healthcare #Plymouth MN #Hiring #CareerArc
None,Join the MetroPCS team! See our latest #job opening here:  #MetroPCS #PineBluff AR #Hiring
None,"Me: I need to go to the gym 
Dad: *texts* wanna go eat? 
Me: ... "
None,Join the Envision team! See our latest #job opening here:  #MOjobs #STLjobs #Engineering #Englewood CO #Hiring
Happy,Just another day at the office. 1st off the tee division. @ The Ritz-Carlton Half Moon Bay
None,I'm at The Halal Guys in Houston TX
Sadness,"All I see is violence and it's sick

"
Frustrated,"All I see is violence and it's sick

"
Sadness,i have a horrible headache 😭
Frustrated,i have a horrible headache 😭
Fear,I'm scared of people who drink city tap water
Thankful,"Thank you Dad for getting my mom and I in trouble. 

#FeelsGood"
Sarcastic,"Thank you Dad for getting my mom and I in trouble. 

#FeelsGood"
None,Logan Circle #logancircle #dc #dmv #watermelon #streetart @ Logan Circle
None,"Free
#GpsTracking
#GPS #Tracking
#TrackingDevice
#Locator #CarTracker
#FleetTracking #Car
#Truck… "
None,Interested in a #job in #Dothan AL? This could be a great fit:  #Retail #Hiring #CareerArc
None,Interested in a #job in #BellGardens CA? This could be a great fit: #hiring #career
None,If you're looking for work in #NewOrleans LA check out this #job:  #Hiring
None,Want to work in #Belleville IL? View our latest opening: #hiring #career
None,This #job might be a great fit for you: State Tested Nurse Assistant (STNA) - Lakeside - Marblehead OH -  #STNA
None,We're #hiring! Click to apply: Store Counter Sales - #job #career
None,See our latest #FortWayne IN #job and click to apply: Pharmacy Technician -  #Healthcare #Hiring
None,Interested in a #job in #LosAngeles CA? This could be a great fit:  #Healthcare #Hiring
None,Join the Ryder team! See our latest #job opening here:  #Sales #Marketing #Omaha NE #Hiring
None,See our latest #Naples FL #job and click to apply: Operations Manager -  #Labor #Hiring
None,Want to work in #SanDiego CA? View our latest opening:  #Healthcare #Job #Jobs #Hiring
None,We're #hiring! Read about our latest #job opening here: Assistant Store Manager Sales -  #Sales #Centerville OH
None,Join the Soma team! See our latest #job opening here:  #Retail #Metairie LA #Hiring #CareerArc
None,This #job might be a great fit for you: Caregiver -  #MasonCity IA #Hiring #CareerArc
None,"Sundays Best Has Arrived💐🌷🌼🌻
@TanyaTaylorNYC Embroidered Dress👗🌺
Shop Link In My Bio With Me… "
None,This #job might be a great fit for you: Game/Support Technician -  #FacilitiesMgmt #Alpharetta GA #Hiring
None,"🎧 Chuck Jay Radio on @PandoraMusic
 #pandora #pandoramusic #chuckjay #newmusic #rnb #music… "
None,See our latest #Sparks NV #job and click to apply: Physical Therapist Assistant / PTA - PRN -  #PRN #Hiring
None,#ONUGFall17 charts the trajectory from private #cloud to hybrid multi-cloud to seamless #cloudcomputing! Register:…
None,Can you recommend anyone for this #job? Mortgage Loan Originator NMLS 1 - Paducah -  #Banking #Paducah KY #Hiring
Happy,"🎼""just two things that money can't buy. That's true love and homegrown tomatoes!""🎤🍅#ILoveThisTimeOfYear"
Love,happy birthday ash love you soooo very much and miss you oh and my dad says happy birthday!!!! (remember face swap…
Happy,happy birthday ash love you soooo very much and miss you oh and my dad says happy birthday!!!! (remember face swap…
Sadness,damn school start tomorrow
Frustrated,I'm sorry @SouthwestAir for the size of my biceps smh I didn't mean to need two seats but I guess u have to accommodate to my size
Sarcastic,I'm sorry @SouthwestAir for the size of my biceps smh I didn't mean to need two seats but I guess u have to accommodate to my size
Hopeful,When they pass away prey and continue. If they don't want to be in your life proceed. If it ain't working no more try to fix it then go.
Excitement,4 more days until I get to see this tough chick
Confusion,Why does twin have me at Aurora Farms during Tax Free Weekend???? 🤦🏿‍♀️
None,"☮️DJ Chey's #ChainedToTheBlues🎵

Happy With The One I Got @ShaunMurphyBand 
#ItWontStopRaining 2016"
None,"Students tan for $5 anytime
$25 air brush spray tans
New customers can try all beds for $9.99 for an entire week! "
Love,I dreamed bout BAE last night😩😍
Sadness,I dreamed bout BAE last night😩😍
Happy,Happy Birthday DJ @DohDollars 🎊🎈
None,with the e*
None,@YaBoyTNippps I've got one $10
Confusion,I've puked twice today and I didn't even get intoxicated yesterday WTF
Excitement,Just didn't have it but @QuintonDisera sure did with a massive 4th place!!! @DiseraRacing @NorcoBicycles #ucimtbwc
Amusment/Interest?,Didn't realize I took such a cool picture-all the parts of the photo come together-bikes rural…
Happy,When you order a 6 piece nugget and they give you 7 😏
Suprise,When you order a 6 piece nugget and they give you 7 😏
Confusion,you ever wake up and your teeth feel crooked?? wtf is happening
Confusion,Seriously?
Frustrated,Seriously?
Happy,BIG smiles this morning at FBCA! Happy Sunday friends! @ First Baptist Church of Arlington Texas
Suprise,This is unreal. Just showed it to my Mom and she gasped. Think you could handle the upper one @iLoveDanaSimo
Excitement,Just remembered the life of Kylie is on tn &amp; I couldn't be more excited
None,Just posted a video @ 101.1 The Beat
Sadness,I'm super sad I can't afford gaming consoles. I need this gaaaaame!
Frustrated,I'm super sad I can't afford gaming consoles. I need this gaaaaame!
Excitement,Excited to build with our new class #wssu21 Let's get it RAMS! All #justicestudies pre-majors I'm in Coltrane Hall.…
lol,People are way too happy in the morning. Tf is wrong with you lol
Confusion,People are way too happy in the morning. Tf is wrong with you lol
Frustrated,Be here by 9:30 they said for brunch. 🙄#brunch not #breakfast #waiting @ Don Jose Mexican…
Excitement,@hackjob83 Omg did you buy it?
Excitement,Trash bag full of fun #planer #woodworking #cuttingboard #agoodturnco @ Centennial Colorado https://t.co/jFLs4HnGOi
None,Mid afternoon snack... #Mommy2Five (@ tropical smoothie cafe in Jacksonville FL) https://t.co/JL0qxLs7gF https://t.co/IdhuxlopIY
Excitement,@tedlieu @SenMarkey @POTUS Please GOD YES!
Proud,@tedlieu @SenMarkey @POTUS Please GOD YES!
Happy,Feeding the #cattle at @BCCattleCo They're doing it right!  #growlocal #eatlocal #knowyourfarmer… https://t.co/KUnRDgnbF8
None,That sounds like a possibility. https://t.co/td1KQH8a7r
None,Shit*
None,Well said
Thankful,Average Kidd on the block➿
Hopeful,Average Kidd on the block➿
Proud,Just watched Usain Bolt run his last race and he will forever be my favorite athlete⚡️
Excitement,How bout them #VOLS?! #GBO #VFL
Happy,@jccaylen no im lucky im blessed YESSSSSS😍
Excitement,@jccaylen no im lucky im blessed YESSSSSS😍
lol,I love this lol
Amusment/Interest?,I love this lol
Sadness,@ThomasCookCares still on the runway following #delays at #Orlando over 4 hours and still here :-( #compensation #notevengivenaglassofwater
Frustrated,@ThomasCookCares still on the runway following #delays at #Orlando over 4 hours and still here :-( #compensation #notevengivenaglassofwater
Love,@jr96escobedo73 @DesiOliviaa @donnvn_ @aaamber_lynn Wouldn't trade the world for y'all 💗 @ja_bulian @adriiwadri…
Hopeful,Oh Bran is gonna give Arya the dagger #GoT
Excitement,Now I shall switch from this back to comfy clothes yassss
Happy,i'm moving. who tryna help me decorate my room &amp; bathroom. WE CAN GO TO TARGET💙 best store ever.
Excitement,i'm moving. who tryna help me decorate my room &amp; bathroom. WE CAN GO TO TARGET💙 best store ever.
Happy,@YaBoyVinit happy birthday bro
None,Get your tickets  #alcoholism #addiction #recovery @WeAdmitted @changesprivate @BishopJakes…
Anger/Upset,No fucking chance
Sadness,Everyone dies in Rogue One: A Star Wars Story and I'm still sad about this...
Love,Happy birthday to my other twin!!!! You're such a cutie love you!!❤❤🎊🎉 @princess_cyd
Happy,Happy birthday to my other twin!!!! You're such a cutie love you!!❤❤🎊🎉 @princess_cyd
Happy,Baltimore was fun tho... by far the funniest vacation I ever had
Anger/Upset,You are the first Hillary supporter today who has not called me a moron or an idiot thank you!
Thankful,You are the first Hillary supporter today who has not called me a moron or an idiot thank you!
Love,I love Kanye
Happy,Seeing the Direwolf sigil back in Winterfell makes me so fucking happy. #GameOfThrones
None,Two weeks from today Sunday August 20 #3rdsundaysdayton #frontstreetbuildings #outdoormarket…
Excitement,Officially finished with the last summer class I'll ever have to take (hopefully) 🙌🏼🙌🏼🙌🏼
Love,I love Arya! She ain't even making a scene. She so calm. But she'll whip dat ass doe. #GameOfThrones #DemThrones
Happy,I love Arya! She ain't even making a scene. She so calm. But she'll whip dat ass doe. #GameOfThrones #DemThrones
lol,I find myself very attractive 😂😌🤷🏽‍♂️
Proud,I find myself very attractive 😂😌🤷🏽‍♂️
None,#StarWars #R2DOODOO  R2R2  by DittoXpression                    via @Etsy #babyshower #holidays #handmade #Summer2017
Anger/Upset,This is the stupidest ban ever
Frustrated,This is the stupidest ban ever
Love,My hubby being cute on the beach #cutiebabe @ Town of Long Beach
Excitement,West coast are you watching @lukepell on @FamilyFeudABC ? Here's a behind the scenes clip from Luke's phone!!
Excitement,YALL WHY HE SO DAMN FINE?
Thankful,@HGTomato Thank you. That makes sense.
Proud,What did NY do to deserve David Villa?? 🔵👕🗽 #NYisBLUE
Happy,Nothing like a summer evening stroll through downtown Bartlesville! @ Bartlesville Oklahoma
Excitement,Rally time! #Sturgis #sturgismotorcyclerally #rally #motorcycle #southdakota #biker #blackhills
None,[freebsd-ports]  antoine - Update to 2.0.11
None,Muddy Waters - I Can't Be Satisfied
None,We're #hiring! Click to apply: FOH Key Lead -  #snapkitchen #careers #hiring #Frontofhouse #Lead #Dallas TX #Job
None,Brandi Carlile - Heroes and Songs - The Firewatcher's Daughter  #NowPlaying
None,[freebsd-ports]  antoine - Update to 6.1.1
None,Twitter Tools - This plug-in integrates your blog with Twitter by pulling all your tweets into the side bar
Thoughtful,"RT @montenegro_emil: Patience is not the ability to wait but how you act while you're waiting. - #ALDUBPhenomStars
@wengcookie 
@lynieg88"
None,[freebsd-ports]  antoine - Update to 1.2.46
None,Can you recommend anyone for this #job? Cardiac Stepdown -  #Nursing #Chattanooga TN #Hiring
None,#NowPlaying: I Want You By Sammie On RNB Hits Radio - Smooth Groove ~ #Listen &amp; Mingle
None,"RT @PerfectWhiteCo: Transform your smile in 2 weeks using our Activated Charcoal Teeth Whitening Powder!  😁🍾

Only at -… "
None,RT @WeAreTheDead: Pte. Franklin Jessie Oldfield (4th Canadian Mounted Rifles - 2nd Central Ontario Regt.). Mar. 13 1916.
None,[freebsd-ports]  antoine - Update to 0.1.14
None,Alanis Morissette - You Learn : #NowPlaying #np @
None,What Every Graphic Designer Thinking About UX Should Know -
None,#NowPlaying Alpha &amp; Omega - Pure and Clean [Remix] via
None,Milwaukee WI USA - Program #Physician (Any Specialty MD or DO OK!) GREAT HRS-HIGH $! - Program Phy...  #JOB #DOCTOR
None,Pharoahe Monch ft. Wyclef Jean &amp; Kenny Rogers - Dub plate
None,RT @justcatchmedemi: iTunes US: 21. (-3) Demi Lovato - Sorry Not Sorry *peak: 2*
None,#NowPlaying Medeski Martin &amp; Wood - Where's Sly?
None,We need a Residential Care Provider at our Shelter. Mon - Thurs 4 pm - Midnight. Resumes to PO Box 2616 Sandusky safeharbourhazel@yahoo
None,[freebsd-ports]  antoine - Update to 4.15.5
None,Detroit Pistons 109 - 95 Chicago Bulls
None,"Cars - Make Money By Completing This survey. 

"
None,"Live streaming Estonia - Netherlands tv watch August 09 2017

#live #stream #watch #online"
Happy,@ChrisParsons274 Well you look very nice! How are the wedding plans going? It's sooooo worth all the prep - you'll have the best time!
Excitement,@ChrisParsons274 Well you look very nice! How are the wedding plans going? It's sooooo worth all the prep - you'll have the best time!
Thoughtful,RT @LondonMindful: “The mind is its own place and in itself can make a heaven of hell a hell of heaven..” - John Milton
None,"[freebsd-ports]  woodsb02 - Add new port sysutils/chvt

The command chvt N makes /dev/ttyv(N-1) the foreground ter..."
None,RT @TathyUnnie: 소리바다 - Soribada APK Download - Free Music &amp; Audio APP for Android |
None,Day 9 //  Hair - Little Mix feat. Sean Paul 🎵 &amp; idk why
Happy,RT @BathStoryTime: @cjfriess @QuentinBlakeHQ Oh I nearly missed out on this - I did not know. Thank you and a Happy #BookLoversDay  to you…
None,"RT @HTWwaiwai: 2ND collab giveaway x @Guxxi_Mong 
[VT Toothbrush/Toothpaste Set]
-
RT to enter
Followers/Non-Followers
-
Giving 1… "
None,Shop eBay - R&amp;M RICHARDS Dress #Plus Size 16W Blue Jersey Stretch Rhinestone Crystal Dressy  #fashion #deal
