Text,Love,Happy,Suprise,Anger/Upset,Sadness,Fear,lol,Confusion,Amusment/Interest?,Excitement,Thoughtful,Proud,Thankful,Frustrated,Sarcastic,Dissapointed,Hopeful,Amazed,Other,None,Classifier
Hey ya'll 💜,,,,,,,,,,,,,,,,,,,,,
back on my bs,,,,,,,,,,,,,,,,,,,,,
#DEVELOPING: Sunday morning homicide in #Portsmouth. More details on @WAVY_News 10 at 6.,,,,,,,,,,,,,,,,,,,,,
This girl has been doing Herbalife for literally over a year ! &amp; all she lost was 15 pounds 😂😂,,,,,,,,,,,,,,,,,,,,,
Next Sunday .... The wait is over 🙏🏾 we going crazy 🔥 #SJJ2K17 Catch Me On The 1s &amp; 2s ... @Short_and_Stowt…,,,,,,,,,,,,,,,,,,,,,
@stfukailynn @LeReesesPuff @julietsux @bluesformami @harleyquince Relax thot sauce the Holy Spirit ain't saying shit to u 😂,,,,,,,,,,,,,,,,,,,,,
@RoseRenaldo chill out,,,,,,,,,,,,,,,,,,,,,
when i'm trying on rings and one is too small &amp; gets stuck and then i think i'm going to have to get my finger ampu…,,,,,,,,,,,,,,,,,,,,,
@lazonadeportiva @lazonadeportiva I want 2 go see the Hogs play!! #WoooPig,,,,,,,,,,,,,,,,,,,,,
I'm exhausted and idk why,,,,,,,,,,,,,,,,,,,,,
i saw a dog inside at a party one time so i opened the door to say hi and then three dogs ran outside. i don't know what happened after that,,,,,,,,,,,,,,,,,,,,,
Realize and be able not to take it when God says no,,,,,,,,,,,,,,,,,,,,,
SOUTH AFRICA IS UNDERRATED,,,,,,,,,,,,,,,,,,,,,
@andreakayeshow I am pleased to make your acquaintance!,,,,,,,,,,,,,,,,,,,,,
Ironwork. #dc #dupontcircle #dmv #cincinnati #ironwork @ Dupont Circle,,,,,,,,,,,,,,,,,,,,,
“Yet if any man suffer as a Christian let him not be ashamed; but…,,,,,,,,,,,,,,,,,,,,,
"If you are a ""data person"" like me please read my paper ""A Modular Approach to Solving The Data Variety Problem""
",,,,,,,,,,,,,,,,,,,,,
Cuz i've been balli'n awhile now,,,,,,,,,,,,,,,,,,,,,
When theres trouble you call DW.,,,,,,,,,,,,,,,,,,,,,
Daughter will be starting 1st grade soon. 1200 x 84 ❣️ You Do The Math 🤷🏾‍♀️,,,,,,,,,,,,,,,,,,,,,
accurate,,,,,,,,,,,,,,,,,,,,,
Home truly is inside of a Brass circle for me. It's good to sit in one again.,,,,,,,,,,,,,,,,,,,,,
Foster was spectacular good when he was good which wasn't for long,,,,,,,,,,,,,,,,,,,,,
"Why I am not ashamed to be an""incrementalist liberal Democrat: I wrote this Jan 2016. Truer now than ever. The Alts… ",,,,,,,,,,,,,,,,,,,,,
I move tomorrow and haven't even begun packing,,,,,,,,,,,,,,,,,,,,,
Just live life!🤘🏻,,,,,,,,,,,,,,,,,,,,,
Smooth blend of cocoa vanilla and malt notes. - Drinking an If I Had A Nickel @ Deadly Sins Brewing -,,,,,,,,,,,,,,,,,,,,,
You Still Hustling For Another Nigga I'm Coming Through Visiting,,,,,,,,,,,,,,,,,,,,,
NRA Weekend Fun: Shooting death ruins Baltimore's 'don't kill anybody' weekend,,,,,,,,,,,,,,,,,,,,,
".@Msldemarco ""HELLO NURSE!"" #Lollapalooza ",,,,,,,,,,,,,,,,,,,,,
@LizynessChris @KellyannePolls Especially Since Her Boss Is Doing The Serious Leaking!,,,,,,,,,,,,,,,,,,,,,
My trust is naturally low so that means you gotta earn it 🤷🏾‍♂️iont trust everyone,,,,,,,,,,,,,,,,,,,,,
@thecllctvmvmt TOMORROW!,,,,,,,,,,,,,,,,,,,,,
@yoouhatebritt header &gt; okay ms bitch,,,,,,,,,,,,,,,,,,,,,
This is why I don't want a daughter....,,,,,,,,,,,,,,,,,,,,,
There be strange sounds plants here. @ Brooklyn Park Minnesota,,,,,,,,,,,,,,,,,,,,,
The Dude abides. #wizardworldcolumbus #wizardworld #thedude #thebiglebowski #jedi #starwars @…,,,,,,,,,,,,,,,,,,,,,
Road trip! ASCFG Conference or bust eh? #ascfg #ascfgconference #canadabound #airportcocktails…,,,,,,,,,,,,,,,,,,,,,
"""Going Steady"" 2 piece RESTOCKED! @missmulatto247 @ Clayton County Georgia ",,,,,,,,,,,,,,,,,,,,,
hey big head,,,,,,,,,,,,,,,,,,,,,
They look 12......,,,,,,,,,,,,,,,,,,,,,
You ain't gotta subtweet me fam,,,,,,,,,,,,,,,,,,,,,
I'm gonna go back to my iconic layout,,,,,,,,,,,,,,,,,,,,,
Never again😂,,,,,,,,,,,,,,,,,,,,,
Good Morning,,,,,,,,,,,,,,,,,,,,,
You really can't eat catfish out of loudon.,,,,,,,,,,,,,,,,,,,,,
Someone lost their fairy dust @ Publix at Hibernia Pavilion,,,,,,,,,,,,,,,,,,,,,
I feel like Nico was too confident that he was gonna kick that ball in Kaleas story 😂😂😂,,,,,,,,,,,,,,,,,,,,,
One of da best niggas out rn,,,,,,,,,,,,,,,,,,,,,
Team no sleep,,,,,,,,,,,,,,,,,,,,,
@sydnayeee i want my ones you hurt me,,,,,,,,,,,,,,,,,,,,,
Nothing,,,,,,,,,,,,,,,,,,,,,
I thought they were playing in the group chat but Ocho Cinco legit pulled up to this man Yemo's house to play FIFA. 😭💀@ASAPYems won 2017.,,,,,,,,,,,,,,,,,,,,,
anyone in bk wanna chill?👀,,,,,,,,,,,,,,,,,,,,,
It's been a minute since been on twitter,,,,,,,,,,,,,,,,,,,,,
Over working for ppl,,,,,,,,,,,,,,,,,,,,,
Y'all hoes don't like kodak black but follow the bodak yellow wave ? Hmmmmm 🤔🤔🤔🤔🤔🤔,,,,,,,,,,,,,,,,,,,,,
Great coffee shop @787Coffee,,,,,,,,,,,,,,,,,,,,,
I hope nr becomes a better person bc having less dudes who are shitty in the world is a good thing? But I rlly don't care abt him personally,,,,,,,,,,,,,,,,,,,,,
Frasier Golden Girls *That 70s Show Reba King of Queens &amp; Friends (6th place).,,,,,,,,,,,,,,,,,,,,,
"He can &amp; so can #trump run to the courts on ""anything"". Best way to kill investigation is flood courts with complai… ",,,,,,,,,,,,,,,,,,,,,
My mom BEEN said she was gonna come get me in a hr and im STILL in beddd 😭🤦🏽‍♀️,,,,,,,,,,,,,,,,,,,,,
@Quad_X_12 Wrong shot,,,,,,,,,,,,,,,,,,,,,
@Budhahess @nana_deplorable @ChelseaClinton @CommonSense In rare cases such as hermaphrodite but still internal fi…,,,,,,,,,,,,,,,,,,,,,
I was in RARE form last night,,,,,,,,,,,,,,,,,,,,,
Hey @withoutdoubt_ today I got it. Can't wait to see what else you guys put out in the future!,,,,,,,,,,,,,,,,,,,,,
Everybody I really fw leaving next Sunday🤦🏽‍♂️,,,,,,,,,,,,,,,,,,,,,
@RyanRosenblatt @LAGalaxyII Submitting this immediately for the next book of Unlikely Friendships,,,,,,,,,,,,,,,,,,,,,
The #weird but #wondweful tasting #FergusTartan #heirloom #tomato #organicseed  #heirloomseed #localseed…,,,,,,,,,,,,,,,,,,,,,
sooo whoever wanna be friends and go on random shopping trips and just hangout everyday I'm now taking applications 🤷🏼‍♀️,,,,,,,,,,,,,,,,,,,,,
classic frank leaving the kids behind,,,,,,,,,,,,,,,,,,,,,
Facts‼️,,,,,,,,,,,,,,,,,,,,,
Good afternoon everyone..Hope yall doing good. fixing to head to the fishing hole.hopefully catch sum dinner and li…,,,,,,,,,,,,,,,,,,,,,
"""Let me speak"" she is me I am her😭 ",,,,,,,,,,,,,,,,,,,,,
Who you are in Christ is the beloved but Satan wants us to act like who we were. ~@execmin,,,,,,,,,,,,,,,,,,,,,
I think I'm the only person who don't like boots I've only own one pair and that's when I was younger.,,,,,,,,,,,,,,,,,,,,,
@TheAlexaPoem Hahaha he could become a leash cat!,,,,,,,,,,,,,,,,,,,,,
I want that kat like a leopard,,,,,,,,,,,,,,,,,,,,,
#RWEBVB 2-5. Alex Isak 4 goals Beste with 1.,,,,,,,,,,,,,,,,,,,,,
Send ya boy a plate,,,,,,,,,,,,,,,,,,,,,
@JoelOsteen Joel Olsten is tha truth!!,,,,,,,,,,,,,,,,,,,,,
Pretty sure if it hadn't been for me hitting the 8 ball in me &amp; @squidney_61 would still be playing our game of pool 😂 #toolegittoquit 🎱,,,,,,,,,,,,,,,,,,,,,
My weekend weapon award goes out to @JByrne33 . Congratulations kid,,,,,,,,,,,,,,,,,,,,,
Truth,,,,,,,,,,,,,,,,,,,,,
Lonzo's Girl is pretty nice,,,,,,,,,,,,,,,,,,,,,
Brunch (at @OxYokeInn in Amana IA),,,,,,,,,,,,,,,,,,,,,
@LOLGOP or maybe Medicaid buy-in for all like @JBPritzker is proposing?,,,,,,,,,,,,,,,,,,,,,
I got so god damn drunk and stoned that I literally became a zombie last night it was bad 😂😂,,,,,,,,,,,,,,,,,,,,,
@20committee I didn't know Bannon had his own street name. ;),,,,,,,,,,,,,,,,,,,,,
With their own hands they are to present the food offering to the LORD; they are to bring the fat together  . . .,,,,,,,,,,,,,,,,,,,,,
Y'all I'm a terrible daughter. 😂,,,,,,,,,,,,,,,,,,,,,
Absolutley killed shoulders today,,,,,,,,,,,,,,,,,,,,,
Drinking  The DeCider: Articles of ImPearment by @BreweryHershey at @alsofhampden —,,,,,,,,,,,,,,,,,,,,,
How many people can you fit in one chair? So far the count is at 7! #ComeWander #Ontario150 @OntarioPlace…,,,,,,,,,,,,,,,,,,,,,
"Job 13:15 though he slay me yet will I hope in him  (intimate connection with God)
The tougher life got the closer Job clung to God",,,,,,,,,,,,,,,,,,,,,
Aways my go to #breakfast. #steak and #eggs!! Really liked this lil #diner in PC! We'll be back.…,,,,,,,,,,,,,,,,,,,,,
Glad I didn't go to Amherst last night y'all weird,,,,,,,,,,,,,,,,,,,,,
Someone help find me an alternate route 😩 passing mile marker 231 now,,,,,,,,,,,,,,,,,,,,,
@NGSHogs @bmarsh013 @NGS_Gigolo It sadly makes sense his first year there need to head down sooner,,,,,,,,,,,,,,,,,,,,,
when the bitch you don't like thinks she's cuter then you,,,,,,,,,,,,,,,,,,,,,
@xoluceli Yeah he worked at opal right? 😂,,,,,,,,,,,,,,,,,,,,,
I probably would've cried lmao.,,,,,,,,,,,,,,,,,,,,,
&amp;&amp; sick of being tired,,,,,,,,,,,,,,,,,,,,,
It's the only way to sleep,,,,,,,,,,,,,,,,,,,,,
Funny that I've stepped away from Dokkan all the squad has cut me out lol,,,,,,,,,,,,,,,,,,,,,
Having straight teeth &gt;&gt;,,,,,,,,,,,,,,,,,,,,,
I'm gonna get drunk as shit and tweet song lyrics all day,,,,,,,,,,,,,,,,,,,,,
"""i am the best rapper alive""

 - lil wayne",,,,,,,,,,,,,,,,,,,,,
Big fucking mood.,,,,,,,,,,,,,,,,,,,,,
A smooth 2 😂😇❤️,,,,,,,,,,,,,,,,,,,,,
@SamWiseSW I too would rather stand next to a transgender person then a racist bigoted liar.,,,,,,,,,,,,,,,,,,,,,
"@kevinborregaard @CNN ""We never met with any Russians"" CNN was correct in reporting he did",,,,,,,,,,,,,,,,,,,,,
a toy hamster folks,,,,,,,,,,,,,,,,,,,,,
Nice day for an Encampment Graduation... #civilairpatrol #proudmom #Wyoming @ Camp Guernsey,,,,,,,,,,,,,,,,,,,,,
@veryeva Challah is pretty easy. Look for the Jeffrey Hamelman formula. @faviator,,,,,,,,,,,,,,,,,,,,,
Y'all he has grown so much😲😌,,,,,,,,,,,,,,,,,,,,,
@_alexadanielle_ From there it was a whole slew of things much of it was my perception of her as incredibly dishonest,,,,,,,,,,,,,,,,,,,,,
Having a leisurely lunch with my friend Jose in a restaurant with televisions. I hate watching this dodger blue.,,,,,,,,,,,,,,,,,,,,,
So this is what y'all arguing about today,,,,,,,,,,,,,,,,,,,,,
Weeds are tough when you grow hundreds of acres under Certified Organic standards.  These potatoes still look great.,,,,,,,,,,,,,,,,,,,,,
Bill  &amp; Hillary  Clintons  Leon Panetta Sam Farr  Barack Obama  Joe Biden  John Kerry et al  have committed numerous various anti Social,,,,,,,,,,,,,,,,,,,,,
"get locked im write ya
On da road I'm Skype ya 💋",,,,,,,,,,,,,,,,,,,,,
well that's not surprising AT ALL,,,,,,,,,,,,,,,,,,,,,
Egggxactlyy,,,,,,,,,,,,,,,,,,,,,
Last night I made kool aid for the first time in like 7 years.,,,,,,,,,,,,,,,,,,,,,
You're a weirdo,,,,,,,,,,,,,,,,,,,,,
Hey Kim don't over-stuff yourself with tamales but yes your cyber-pregnant with a Hungarian baby boy!I gave Ol' Irish my dues money!,,,,,,,,,,,,,,,,,,,,,
@Cat_Sisung And she was fine everyone,,,,,,,,,,,,,,,,,,,,,
Fear of god on me I got nothing but faith.,,,,,,,,,,,,,,,,,,,,,
we out.,,,,,,,,,,,,,,,,,,,,,
Nike ❤️,,,,,,,,,,,,,,,,,,,,,
"""One sip and wooo""😂😂 ",,,,,,,,,,,,,,,,,,,,,
She's So Pretty #BlackGirlMagic 💕💐,,,,,,,,,,,,,,,,,,,,,
@JeeringBaka hey jear shut the fuck up,,,,,,,,,,,,,,,,,,,,,
@MaryKDvorsky lol it's so weird how I'm so accustomed to it,,,,,,,,,,,,,,,,,,,,,
Boat cruising with the swift current in the Cape Cod Canal by the Railroad Bridge |…,,,,,,,,,,,,,,,,,,,,,
@jdike5 Hell nah bro wth then Im not gonna be about to do nothing in life lol,,,,,,,,,,,,,,,,,,,,,
@dcxwrg Bitch yeen never died so shut up 😂,,,,,,,,,,,,,,,,,,,,,
Mary McLeod Bethune! #dc #dmv #blackhistory #ncnw @ Mary McLeod Bethune Council House National…,,,,,,,,,,,,,,,,,,,,,
Another sold out #RehabBoatCruise for the books. See y'all there 🛳 @ Spirit of Boston,,,,,,,,,,,,,,,,,,,,,
lol I have a problem,,,,,,,,,,,,,,,,,,,,,
@edcampos92 yeah I was late as fuck and watched all 7 seasons in like a week being at the hospital,,,,,,,,,,,,,,,,,,,,,
Yeah this ain't it big fella,,,,,,,,,,,,,,,,,,,,,
it was me,,,,,,,,,,,,,,,,,,,,,
Who wants a free custom lighter ? 👀👀👀👀 #flyflames,,,,,,,,,,,,,,,,,,,,,
Um last night was so spontaneous @__marymiller__ showed up????,,,,,,,,,,,,,,,,,,,,,
Thanks Noah do work this year just like I know you will ✊🏻✊🏻,,,,,,,,,,,,,,,,,,,,,
Issa nothingggg...Can everyone stfu lmaooo,,,,,,,,,,,,,,,,,,,,,
@raffiqzin @LunaAmatista @CNN Wait until the American toxic waste shows up near you and you start gasping for oxyge…,,,,,,,,,,,,,,,,,,,,,
NO LOVE FOR U LITTLE DICK BOY😭😭😭😭😭😭😭😭😭😭😭,,,,,,,,,,,,,,,,,,,,,
Ok that is just fantastic.,,,,,,,,,,,,,,,,,,,,,
It's time,,,,,,,,,,,,,,,,,,,,,
I really want some bacon lol,,,,,,,,,,,,,,,,,,,,,
At their temporary home ground too. Outstanding.,,,,,,,,,,,,,,,,,,,,,
I grew up in Section 8 housing how do you not know what a hippo smells like @JulieHo19047064 #yourcatsmells,,,,,,,,,,,,,,,,,,,,,
Which is better?,,,,,,,,,,,,,,,,,,,,,
Still lifting my head but my swing has come a long way. #golfswing @ Rolling Hills Golf Course,,,,,,,,,,,,,,,,,,,,,
3/4TH GRADE GIRLS - Pool A/B - STEPHENVILLE ELITE def. LADY SPARKS 9-1 @exposurebball,,,,,,,,,,,,,,,,,,,,,
I know a good 20 hilarious 9/11 jokes y'all sensitive af,,,,,,,,,,,,,,,,,,,,,
Gotta have that magic juice (coffee) @ San Diego International Airport,,,,,,,,,,,,,,,,,,,,,
@realDonaldTrump Guess @BarackObama never took a vacation. He also had to make phone calls &amp; go to meetings. If I w…,,,,,,,,,,,,,,,,,,,,,
@LauschJack @TheRevBobLevy @beatlesbyday @gogogo6177 I don't believe so. The Beatles needed a drummer to get their…,,,,,,,,,,,,,,,,,,,,,
Can you tell us the recipe?,,,,,,,,,,,,,,,,,,,,,
I want a dude that'll still kiss me when he mad. Type to cop me diamonds you can miss me with them bags 🤘🏽💙🔥,,,,,,,,,,,,,,,,,,,,,
all original 30 min mix for me to play at @Dirtybird 's @DirtybirdCamp is on SC now!,,,,,,,,,,,,,,,,,,,,,
Another A+ 🇹🇼breakfast🤗🤗🤗 (@ Four Sea Restaurant in Hacienda Heights CA),,,,,,,,,,,,,,,,,,,,,
@banditelli @Cato_of_Utica @batemanesque yeah extremely valid concern tbh,,,,,,,,,,,,,,,,,,,,,
Ya just found groot,,,,,,,,,,,,,,,,,,,,,
"""yo ratch you better be gettin some dick bc if you aint i dont know what the fuck you doin"" ok @SMeccia",,,,,,,,,,,,,,,,,,,,,
Sunday Funday Brunch Shenanigans about to begin! #partyready #laughingglass #sundayfunday…,,,,,,,,,,,,,,,,,,,,,
Amen 🙏,,,,,,,,,,,,,,,,,,,,,
@TheBenLudlow @poetickate @aubreyannie I almost feel embarrassed to say that I never noticed this before.,,,,,,,,,,,,,,,,,,,,,
@RipShank_23 You ain't never lie 💯 can't settle for just anybody,,,,,,,,,,,,,,,,,,,,,
All they can do is hate me,,,,,,,,,,,,,,,,,,,,,
📝📚👨‍🎓 Form for players to turn in weekly,,,,,,,,,,,,,,,,,,,,,
@yashar @gaywonk @kayleighmcenany On Trump TV Kayleigh can continue to spead her fake news but this time no one will hold her accountable.,,,,,,,,,,,,,,,,,,,,,
She doesn't have to love sports but she will have to tolerate it enough to look cute at the games wit me if we gon…,,,,,,,,,,,,,,,,,,,,,
You're talking too much man. I'm over this - I have work to be done lol.,,,,,,,,,,,,,,,,,,,,,
But not on the level of a black women for the most part,,,,,,,,,,,,,,,,,,,,,
@MarcusMyrie Ah thanks. Missed it,,,,,,,,,,,,,,,,,,,,,
Every time I go out in cincy it's almost a guaranteed $100 night..,,,,,,,,,,,,,,,,,,,,,
Wanted 2 thk @jodeemessina 4 being able 2 share my joy of her music with my 2 yr niece last night. I had 2 stop her…,,,,,,,,,,,,,,,,,,,,,
"What?
God has no color He is the Great I am.
Jesus was from the (what's now called) ME He worked outside pretty… ",,,,,,,,,,,,,,,,,,,,,
"2M's In A Brief Case 💪🏻
@vanillaice x @RickRoss 
 ",,,,,,,,,,,,,,,,,,,,,
some personal news: I saved a bumble bee at the bar,,,,,,,,,,,,,,,,,,,,,
@KC_SEASportsFan @Mariners Enjoy the game Brett.,,,,,,,,,,,,,,,,,,,,,
I'm just not that type of person...i can't get with nobody simply cuz they're buying me stuff especially if I don't like him fr man hell no,,,,,,,,,,,,,,,,,,,,,
Ion play call of duty,,,,,,,,,,,,,,,,,,,,,
This is so old,,,,,,,,,,,,,,,,,,,,,
Should’ve went to church,,,,,,,,,,,,,,,,,,,,,
@thereal_RyanHor @SimplyLampard Yeah but this system over corrects that and now swings the favor the opposite way it's not fixing anything,,,,,,,,,,,,,,,,,,,,,
I like it! That OL looks good.,,,,,,,,,,,,,,,,,,,,,
@BrianHegseth not just golf stats I now get to see all vacation stats! #StatsNerd,,,,,,,,,,,,,,,,,,,,,
This is Fucking Funny,,,,,,,,,,,,,,,,,,,,,
No pastor with any sense would support this law. Many reasons that it is a monumentally stupid idea that may do irr…,,,,,,,,,,,,,,,,,,,,,
Country Music Kinda Mood 🎶🎶,,,,,,,,,,,,,,,,,,,,,
yes you are boo boo keep doing you,,,,,,,,,,,,,,,,,,,,,
If I'm just a place for you to lay your head at night then I don't want it,,,,,,,,,,,,,,,,,,,,,
Lol why? That's a man that really wants you. Y'all don't be appreciating shit 🤦🏽‍♂️,,,,,,,,,,,,,,,,,,,,,
Thinking about my birthday outfit 😂,,,,,,,,,,,,,,,,,,,,,
"Guy working the window at McDonald's: ""you look familiar""
Me: ""yeah I've been here 3 days in a row"" lmao",,,,,,,,,,,,,,,,,,,,,
@DVATW Because people like you just don't get it. That's why!,,,,,,,,,,,,,,,,,,,,,
Bowl,,,,,,,,,,,,,,,,,,,,,
Time for tree climbing 😼,,,,,,,,,,,,,,,,,,,,,
Look at her coming in with the bars lol,,,,,,,,,,,,,,,,,,,,,
😂😂im weak,,,,,,,,,,,,,,,,,,,,,
There's a small part of me who that's feels like I should be at hard summer,,,,,,,,,,,,,,,,,,,,,
Ain't no more sliding into DMs I see.,,,,,,,,,,,,,,,,,,,,,
"That street life effects the entire family. No one is innocent when someone is involved w/the streets 
#PowerTV",,,,,,,,,,,,,,,,,,,,,
@syd_harmon9 Thank you Syd!!! Can't wait for you all to be back 😛😛😛,,,,,,,,,,,,,,,,,,,,,
LMFAOOOOOOOOOOOOOOOOO,,,,,,,,,,,,,,,,,,,,,
@avfti @jamiesivrais TODAYS THE DAY!!,,,,,,,,,,,,,,,,,,,,,
Miami 5 min raining and sunny again 🙄,,,,,,,,,,,,,,,,,,,,,
Haha I leave for school next week and I have no packing boxes and there's still so much I want to do sry mom I'm not going maybe next yr!,,,,,,,,,,,,,,,,,,,,,
Damn I'm sleepy sheesh....,,,,,,,,,,,,,,,,,,,,,
who is going to the @SecretMPress event tonight?❤️,,,,,,,,,,,,,,,,,,,,,
I wish there was an Obama son the clout young man would have would be unprecedented. We'd just have to protect him from Kylie with our lives,,,,,,,,,,,,,,,,,,,,,
This how my closet looks,,,,,,,,,,,,,,,,,,,,,
@FabulousLVNV @realDonaldTrump Did you ask similar questions of @BarackObama when he was POTUS?,,,,,,,,,,,,,,,,,,,,,
white denim is a m u s t  in my wardrobe ▸ besides the fact that I'm a total klutz and almost…,,,,,,,,,,,,,,,,,,,,,
"Put some hair on that
Chest you old Trump
Smells like you
Shit your
Pants",,,,,,,,,,,,,,,,,,,,,
No darling I ain't even worried. You'll come runnin back. He can't even bait a hook.,,,,,,,,,,,,,,,,,,,,,
An amazing time and amazing people captured at @21savage 2nd Annual #IssaBack2SchoolDrive…,,,,,,,,,,,,,,,,,,,,,
You &amp; Me can be  You &amp; Me but together thats your decision 🤞🏾,,,,,,,,,,,,,,,,,,,,,
And I gotta work with these two 🐍🐍,,,,,,,,,,,,,,,,,,,,,
@sydwalla free pls,,,,,,,,,,,,,,,,,,,,,
@jminiel here is an idea you'd enjoy!,,,,,,,,,,,,,,,,,,,,,
When the girl who only uses water on her face and has clear skin finally breaks out,,,,,,,,,,,,,,,,,,,,,
Your life is a cumulative result of the information you have Received &amp; Embraced!! #UndertheInfluence @myredemptioncc @roncarpenter,,,,,,,,,,,,,,,,,,,,,
Find yourself a girl who stans for you as much as Drake does for every NBA player 💁🏽‍♂️,,,,,,,,,,,,,,,,,,,,,
really wanna visit London again one day- one of my favourite trips ever,,,,,,,,,,,,,,,,,,,,,
Srsly HATS OFF to @HomeDepot for starting to host DIY workshops. So many people out there who don't have the help. So great..,,,,,,,,,,,,,,,,,,,,,
I'm appalled Torres or Sloan FOR SURE,,,,,,,,,,,,,,,,,,,,,
You making me have wild thoughts 🤤🤤,,,,,,,,,,,,,,,,,,,,,
Me and the Mad Dog are going to Post Malone 🤜🏾🤛🏻 @Maddyoconnorr,,,,,,,,,,,,,,,,,,,,,
@pyerodemusic @YourFaithFails @AnctNightmare @ShawkOfGawd @LilithLiberated @mikebank56 So you're a virgin then 😂👍🏻,,,,,,,,,,,,,,,,,,,,,
Precious little BEAN :3 #cat,,,,,,,,,,,,,,,,,,,,,
12U BOYS - PLATINUM Championship (G1) - MASH RED def. DYNASTY 49-31 @exposurebball,,,,,,,,,,,,,,,,,,,,,
Malaa real House music 😩💦,,,,,,,,,,,,,,,,,,,,,
@Bibiana1Krall .Yes indeed. She was one of a kind. But you are too Bibiana.,,,,,,,,,,,,,,,,,,,,,
@KingChom_45 Play me in madden for it,,,,,,,,,,,,,,,,,,,,,
@JohnSchaech Gravy is an acceptable dipping sauce for fries. #ConfessYourUnpopularOpinion,,,,,,,,,,,,,,,,,,,,,
OC Fair magic moment-the baby goat hopped on got comfy and groomed the llama. @ OC Fair,,,,,,,,,,,,,,,,,,,,,
Thread...,,,,,,,,,,,,,,,,,,,,,
@HCPaperstax Rather not,,,,,,,,,,,,,,,,,,,,,
A Boogie be speaking big facts that's why I fw him 🗣💯,,,,,,,,,,,,,,,,,,,,,
@kelli_BYUFan It’s healthy to laugh at yourself. It’s even healthier to let others!,,,,,,,,,,,,,,,,,,,,,
As a Christian I am sad to say that I agree.,,,,,,,,,,,,,,,,,,,,,
Stop investing your time in these lames 🤷🏾‍♀️,,,,,,,,,,,,,,,,,,,,,
They don't even know who he is.,,,,,,,,,,,,,,,,,,,,,
@VivaLaManCity post my you tube views doe,,,,,,,,,,,,,,,,,,,,,
@nottobebelieved @mashable Or how about ball cleavage?????😂😂,,,,,,,,,,,,,,,,,,,,,
everything about me is different from what you had before,,,,,,,,,,,,,,,,,,,,,
damn i really love diamond,,,,,,,,,,,,,,,,,,,,,
spread the word y'all it takes 5 seconds,,,,,,,,,,,,,,,,,,,,,
@kaekaestarving Those all apply to me so that makes sense.,,,,,,,,,,,,,,,,,,,,,
@MonaHol @JudeanPF ROFL! If you actually preferred that in real life you'd be asking why there are no gay pride ma…,,,,,,,,,,,,,,,,,,,,,
Church,,,,,,,,,,,,,,,,,,,,,
Refugees welcome.,,,,,,,,,,,,,,,,,,,,,
@Eat_THA_maN Hell yes lol really if it ain't on sale I ain't buying it lol,,,,,,,,,,,,,,,,,,,,,
Day Swim Party🎉 Today with Me 8/6 #rehablasvegas at #rehabvegas Lets Git It inside…,,,,,,,,,,,,,,,,,,,,,
OMFG !! 😍😍😍 @IGGYAZALEA,,,,,,,,,,,,,,,,,,,,,
✨day 3✨ @ Lollapalooza,,,,,,,,,,,,,,,,,,,,,
Can't relate 😂😂🤦🏼‍♀️,,,,,,,,,,,,,,,,,,,,,
you with all them curves and me without no brakes 😋,,,,,,,,,,,,,,,,,,,,,
@itsdannyg @Psychfic Thanks Danny! Time to get down!,,,,,,,,,,,,,,,,,,,,,
Feeling lucky 🍀,,,,,,,,,,,,,,,,,,,,,
Absolute fuckin truth. Bring that ass here boi,,,,,,,,,,,,,,,,,,,,,
I swear,,,,,,,,,,,,,,,,,,,,,
The way they still bowl over defenders is the most adorable part,,,,,,,,,,,,,,,,,,,,,
Should I...,,,,,,,,,,,,,,,,,,,,,
I don't know this nigga,,,,,,,,,,,,,,,,,,,,,
8 to 10 Republicans have concerns on healthcare bill: Collins.  - the test of the outcome should do no harm. #ctg,,,,,,,,,,,,,,,,,,,,,
@haileyntorres thought so but it didn't tell me i was wrong,,,,,,,,,,,,,,,,,,,,,
Truth #tawanathoughts @ New Jersey,,,,,,,,,,,,,,,,,,,,,
I was about to tag you in this then realized it was you that retweeted it and I can't stop laughing @brookeparciakkk,,,,,,,,,,,,,,,,,,,,,
"One thing I miss about working in a record store is moms looking for CDs for their kids. ""I'm looking for someone called 'The Death Crabs?'""",,,,,,,,,,,,,,,,,,,,,
Just want it to be Wednesday already,,,,,,,,,,,,,,,,,,,,,
Back at it with my girl 13.mj.11 we just crushed our Sunday session. So happy to have my Sunday…,,,,,,,,,,,,,,,,,,,,,
i just walked in on my dad watching garfield alone,,,,,,,,,,,,,,,,,,,,,
@OmegaManX2 Sad times outchea,,,,,,,,,,,,,,,,,,,,,
This show about to be funny as fuck I already know it Lmaooooooo,,,,,,,,,,,,,,,,,,,,,
Moonlight mean a lot to me 😤,,,,,,,,,,,,,,,,,,,,,
i dont think we actually should have to put sanctions on israel that seems a little imperialist imo,,,,,,,,,,,,,,,,,,,,,
"the genius himself @DefEyeClth playing around with ""Again"" off my first project ""Soon Come""… ",,,,,,,,,,,,,,,,,,,,,
Last night was mad real. Thank you to everybody that helped make it happen.,,,,,,,,,,,,,,,,,,,,,
"But son played it too smooth he gets my respect ""maybe we should get you a cab""",,,,,,,,,,,,,,,,,,,,,
@gracesullen the cast of daria is on my short list for halloween costumes,,,,,,,,,,,,,,,,,,,,,
@SilentHamish Cheers to that from @s1posterwife &amp; me!,,,,,,,,,,,,,,,,,,,,,
